================================================================================
        MFGH Solver Calculation Log
================================================================================
Calculation Time: 2026-01-09 11:35:16

--- Input & Derived Parameters ---
MU                            : 49902.0048124958
HBAR                          : 1.0
N_POINTS_FINAL (Internal)     : 1024
R_MIN_USER_DEFINED            : 2.0
R_MAX_USER_DEFINED            : 400.0
E_MAX (for mapping)           : 0.00022693392727697473
V_min                         : -0.0011346696426874296
De_approx                     : 0.0011346696416370036

--- Key Results ---
Approx. Dissociation Energy (De) : 0.001135
Total Number of Bound States     : 33

--- Full Eigenvalue Spectrum ---
Level (v)       Energy                    State Type
685             0.00029131                Unbound (Continuum)
686             0.00029271                Unbound (Continuum)
687             0.00029306                Unbound (Continuum)
688             0.00029447                Unbound (Continuum)
689             0.00029482                Unbound (Continuum)
690             0.00029624                Unbound (Continuum)
691             0.00029659                Unbound (Continuum)
692             0.00029801                Unbound (Continuum)
693             0.00029836                Unbound (Continuum)
694             0.00029979                Unbound (Continuum)
695             0.00030014                Unbound (Continuum)
696             0.00030157                Unbound (Continuum)
697             0.00030192                Unbound (Continuum)
698             0.00030335                Unbound (Continuum)
699             0.00030371                Unbound (Continuum)
700             0.00030514                Unbound (Continuum)
701             0.00030550                Unbound (Continuum)
702             0.00030694                Unbound (Continuum)
703             0.00030729                Unbound (Continuum)
704             0.00030874                Unbound (Continuum)
705             0.00030910                Unbound (Continuum)
706             0.00031055                Unbound (Continuum)
707             0.00031091                Unbound (Continuum)
708             0.00031236                Unbound (Continuum)
709             0.00031272                Unbound (Continuum)
710             0.00031418                Unbound (Continuum)
711             0.00031454                Unbound (Continuum)
712             0.00031600                Unbound (Continuum)
713             0.00031636                Unbound (Continuum)
714             0.00031783                Unbound (Continuum)
715             0.00031819                Unbound (Continuum)
716             0.00031966                Unbound (Continuum)
717             0.00032002                Unbound (Continuum)
718             0.00032150                Unbound (Continuum)
719             0.00032186                Unbound (Continuum)
720             0.00032334                Unbound (Continuum)
721             0.00032371                Unbound (Continuum)
722             0.00032519                Unbound (Continuum)
723             0.00032555                Unbound (Continuum)
724             0.00032704                Unbound (Continuum)
725             0.00032741                Unbound (Continuum)
726             0.00032890                Unbound (Continuum)
727             0.00032927                Unbound (Continuum)
728             0.00033077                Unbound (Continuum)
729             0.00033113                Unbound (Continuum)
730             0.00033263                Unbound (Continuum)
731             0.00033300                Unbound (Continuum)
732             0.00033451                Unbound (Continuum)
733             0.00033488                Unbound (Continuum)
734             0.00033639                Unbound (Continuum)
735             0.00033676                Unbound (Continuum)
736             0.00033827                Unbound (Continuum)
737             0.00033865                Unbound (Continuum)
738             0.00034016                Unbound (Continuum)
739             0.00034054                Unbound (Continuum)
740             0.00034206                Unbound (Continuum)
741             0.00034243                Unbound (Continuum)
742             0.00034396                Unbound (Continuum)
743             0.00034433                Unbound (Continuum)
744             0.00034586                Unbound (Continuum)
745             0.00034624                Unbound (Continuum)
746             0.00034777                Unbound (Continuum)
747             0.00034815                Unbound (Continuum)
748             0.00034969                Unbound (Continuum)
749             0.00035007                Unbound (Continuum)
750             0.00035161                Unbound (Continuum)
751             0.00035199                Unbound (Continuum)
752             0.00035354                Unbound (Continuum)
753             0.00035392                Unbound (Continuum)
754             0.00035547                Unbound (Continuum)
755             0.00035585                Unbound (Continuum)
756             0.00035741                Unbound (Continuum)
757             0.00035779                Unbound (Continuum)
758             0.00035935                Unbound (Continuum)
759             0.00035973                Unbound (Continuum)
760             0.00036129                Unbound (Continuum)
761             0.00036168                Unbound (Continuum)
762             0.00036325                Unbound (Continuum)
763             0.00036363                Unbound (Continuum)
764             0.00036520                Unbound (Continuum)
765             0.00036559                Unbound (Continuum)
766             0.00036717                Unbound (Continuum)
767             0.00036755                Unbound (Continuum)
768             0.00036913                Unbound (Continuum)
769             0.00036952                Unbound (Continuum)
770             0.00037111                Unbound (Continuum)
771             0.00037150                Unbound (Continuum)
772             0.00037309                Unbound (Continuum)
773             0.00037347                Unbound (Continuum)
774             0.00037507                Unbound (Continuum)
775             0.00037546                Unbound (Continuum)
776             0.00037706                Unbound (Continuum)
777             0.00037745                Unbound (Continuum)
778             0.00037905                Unbound (Continuum)
779             0.00037944                Unbound (Continuum)
780             0.00038105                Unbound (Continuum)
781             0.00038144                Unbound (Continuum)
782             0.00038305                Unbound (Continuum)
783             0.00038345                Unbound (Continuum)
784             0.00038506                Unbound (Continuum)
785             0.00038546                Unbound (Continuum)
786             0.00038708                Unbound (Continuum)
787             0.00038747                Unbound (Continuum)
788             0.00038910                Unbound (Continuum)
789             0.00038949                Unbound (Continuum)
790             0.00039112                Unbound (Continuum)
791             0.00039152                Unbound (Continuum)
792             0.00039315                Unbound (Continuum)
793             0.00039355                Unbound (Continuum)
794             0.00039519                Unbound (Continuum)
795             0.00039559                Unbound (Continuum)
796             0.00039723                Unbound (Continuum)
797             0.00039763                Unbound (Continuum)
798             0.00039927                Unbound (Continuum)
799             0.00039967                Unbound (Continuum)
800             0.00040132                Unbound (Continuum)
801             0.00040172                Unbound (Continuum)
802             0.00040338                Unbound (Continuum)
803             0.00040378                Unbound (Continuum)
804             0.00040544                Unbound (Continuum)
805             0.00040584                Unbound (Continuum)
806             0.00040750                Unbound (Continuum)
807             0.00040791                Unbound (Continuum)
808             0.00040958                Unbound (Continuum)
809             0.00040998                Unbound (Continuum)
810             0.00041165                Unbound (Continuum)
811             0.00041206                Unbound (Continuum)
812             0.00041373                Unbound (Continuum)
813             0.00041414                Unbound (Continuum)
814             0.00041582                Unbound (Continuum)
815             0.00041623                Unbound (Continuum)
816             0.00041791                Unbound (Continuum)
817             0.00041832                Unbound (Continuum)
818             0.00042001                Unbound (Continuum)
819             0.00042042                Unbound (Continuum)
820             0.00042211                Unbound (Continuum)
821             0.00042252                Unbound (Continuum)
822             0.00042422                Unbound (Continuum)
823             0.00042463                Unbound (Continuum)
824             0.00042633                Unbound (Continuum)
825             0.00042675                Unbound (Continuum)
826             0.00042845                Unbound (Continuum)
827             0.00042886                Unbound (Continuum)
828             0.00043057                Unbound (Continuum)
829             0.00043099                Unbound (Continuum)
830             0.00043270                Unbound (Continuum)
831             0.00043312                Unbound (Continuum)
832             0.00043483                Unbound (Continuum)
833             0.00043525                Unbound (Continuum)
834             0.00043697                Unbound (Continuum)
835             0.00043739                Unbound (Continuum)
836             0.00043912                Unbound (Continuum)
837             0.00043954                Unbound (Continuum)
838             0.00044126                Unbound (Continuum)
839             0.00044169                Unbound (Continuum)
840             0.00044342                Unbound (Continuum)
841             0.00044384                Unbound (Continuum)
842             0.00044558                Unbound (Continuum)
843             0.00044600                Unbound (Continuum)
844             0.00044774                Unbound (Continuum)
845             0.00044817                Unbound (Continuum)
846             0.00044991                Unbound (Continuum)
847             0.00045034                Unbound (Continuum)
848             0.00045208                Unbound (Continuum)
849             0.00045251                Unbound (Continuum)
850             0.00045426                Unbound (Continuum)
851             0.00045469                Unbound (Continuum)
852             0.00045645                Unbound (Continuum)
853             0.00045688                Unbound (Continuum)
854             0.00045864                Unbound (Continuum)
855             0.00045907                Unbound (Continuum)
856             0.00046083                Unbound (Continuum)
857             0.00046126                Unbound (Continuum)
858             0.00046303                Unbound (Continuum)
859             0.00046347                Unbound (Continuum)
860             0.00046524                Unbound (Continuum)
861             0.00046567                Unbound (Continuum)
862             0.00046745                Unbound (Continuum)
863             0.00046788                Unbound (Continuum)
864             0.00046966                Unbound (Continuum)
865             0.00047010                Unbound (Continuum)
866             0.00047189                Unbound (Continuum)
867             0.00047232                Unbound (Continuum)
868             0.00047411                Unbound (Continuum)
869             0.00047455                Unbound (Continuum)
870             0.00047634                Unbound (Continuum)
871             0.00047678                Unbound (Continuum)
872             0.00047858                Unbound (Continuum)
873             0.00047902                Unbound (Continuum)
874             0.00048082                Unbound (Continuum)
875             0.00048126                Unbound (Continuum)
876             0.00048307                Unbound (Continuum)
877             0.00048351                Unbound (Continuum)
878             0.00048532                Unbound (Continuum)
879             0.00048576                Unbound (Continuum)
880             0.00048757                Unbound (Continuum)
881             0.00048802                Unbound (Continuum)
882             0.00048984                Unbound (Continuum)
883             0.00049028                Unbound (Continuum)
884             0.00049210                Unbound (Continuum)
885             0.00049255                Unbound (Continuum)
886             0.00049437                Unbound (Continuum)
887             0.00049482                Unbound (Continuum)
888             0.00049665                Unbound (Continuum)
889             0.00049710                Unbound (Continuum)
890             0.00049893                Unbound (Continuum)
891             0.00049938                Unbound (Continuum)
892             0.00050122                Unbound (Continuum)
893             0.00050167                Unbound (Continuum)
894             0.00050351                Unbound (Continuum)
895             0.00050397                Unbound (Continuum)
896             0.00050581                Unbound (Continuum)
897             0.00050626                Unbound (Continuum)
898             0.00050811                Unbound (Continuum)
899             0.00050857                Unbound (Continuum)
900             0.00051042                Unbound (Continuum)
901             0.00051088                Unbound (Continuum)
902             0.00051274                Unbound (Continuum)
903             0.00051319                Unbound (Continuum)
904             0.00051505                Unbound (Continuum)
905             0.00051551                Unbound (Continuum)
906             0.00051738                Unbound (Continuum)
907             0.00051783                Unbound (Continuum)
908             0.00051970                Unbound (Continuum)
909             0.00052016                Unbound (Continuum)
910             0.00052204                Unbound (Continuum)
911             0.00052250                Unbound (Continuum)
912             0.00052438                Unbound (Continuum)
913             0.00052484                Unbound (Continuum)
914             0.00052672                Unbound (Continuum)
915             0.00052718                Unbound (Continuum)
916             0.00052907                Unbound (Continuum)
917             0.00052953                Unbound (Continuum)
918             0.00053142                Unbound (Continuum)
919             0.00053189                Unbound (Continuum)
920             0.00053378                Unbound (Continuum)
921             0.00053425                Unbound (Continuum)
922             0.00053614                Unbound (Continuum)
923             0.00053661                Unbound (Continuum)
924             0.00053851                Unbound (Continuum)
925             0.00053898                Unbound (Continuum)
926             0.00054089                Unbound (Continuum)
927             0.00054136                Unbound (Continuum)
928             0.00054326                Unbound (Continuum)
929             0.00054374                Unbound (Continuum)
930             0.00054565                Unbound (Continuum)
931             0.00054612                Unbound (Continuum)
932             0.00054804                Unbound (Continuum)
933             0.00054851                Unbound (Continuum)
934             0.00055043                Unbound (Continuum)
935             0.00055091                Unbound (Continuum)
936             0.00055283                Unbound (Continuum)
937             0.00055331                Unbound (Continuum)
938             0.00055523                Unbound (Continuum)
939             0.00055572                Unbound (Continuum)
940             0.00055764                Unbound (Continuum)
941             0.00055813                Unbound (Continuum)
942             0.00056006                Unbound (Continuum)
943             0.00056054                Unbound (Continuum)
944             0.00056248                Unbound (Continuum)
945             0.00056296                Unbound (Continuum)
946             0.00056490                Unbound (Continuum)
947             0.00056539                Unbound (Continuum)
948             0.00056733                Unbound (Continuum)
949             0.00056782                Unbound (Continuum)
950             0.00056976                Unbound (Continuum)
951             0.00057026                Unbound (Continuum)
952             0.00057220                Unbound (Continuum)
953             0.00057270                Unbound (Continuum)
954             0.00057465                Unbound (Continuum)
955             0.00057514                Unbound (Continuum)
956             0.00057710                Unbound (Continuum)
957             0.00057759                Unbound (Continuum)
958             0.00057955                Unbound (Continuum)
959             0.00058005                Unbound (Continuum)
960             0.00058201                Unbound (Continuum)
961             0.00058251                Unbound (Continuum)
962             0.00058447                Unbound (Continuum)
963             0.00058497                Unbound (Continuum)
964             0.00058694                Unbound (Continuum)
965             0.00058744                Unbound (Continuum)
966             0.00058941                Unbound (Continuum)
967             0.00058992                Unbound (Continuum)
968             0.00059189                Unbound (Continuum)
969             0.00059240                Unbound (Continuum)
970             0.00059437                Unbound (Continuum)
971             0.00059488                Unbound (Continuum)
972             0.00059686                Unbound (Continuum)
973             0.00059737                Unbound (Continuum)
974             0.00059936                Unbound (Continuum)
975             0.00059986                Unbound (Continuum)
976             0.00060185                Unbound (Continuum)
977             0.00060236                Unbound (Continuum)
978             0.00060436                Unbound (Continuum)
979             0.00060486                Unbound (Continuum)
980             0.00060687                Unbound (Continuum)
981             0.00060737                Unbound (Continuum)
982             0.00060938                Unbound (Continuum)
983             0.00060987                Unbound (Continuum)
984             0.00061190                Unbound (Continuum)
985             0.00061239                Unbound (Continuum)
986             0.00061443                Unbound (Continuum)
987             0.00061491                Unbound (Continuum)
988             0.00061697                Unbound (Continuum)
989             0.00061743                Unbound (Continuum)
990             0.00061951                Unbound (Continuum)
991             0.00061996                Unbound (Continuum)
992             0.00062206                Unbound (Continuum)
993             0.00062249                Unbound (Continuum)
994             0.00062462                Unbound (Continuum)
995             0.00062504                Unbound (Continuum)
996             0.00062719                Unbound (Continuum)
997             0.00062760                Unbound (Continuum)
998             0.00062978                Unbound (Continuum)
999             0.00063017                Unbound (Continuum)
1000            0.00063238                Unbound (Continuum)
1001            0.00063276                Unbound (Continuum)
1002            0.00063499                Unbound (Continuum)
1003            0.00063539                Unbound (Continuum)
1004            0.00063763                Unbound (Continuum)
1005            0.00063805                Unbound (Continuum)
1006            0.00064028                Unbound (Continuum)
1007            0.00064079                Unbound (Continuum)
1008            0.00064288                Unbound (Continuum)
1009            0.00064368                Unbound (Continuum)
1010            0.00064507                Unbound (Continuum)
1011            0.00065614                Unbound (Continuum)
1012            0.00070700                Unbound (Continuum)
1013            0.00073556                Unbound (Continuum)
1014            0.00082052                Unbound (Continuum)
1015            0.00085943                Unbound (Continuum)
1016            0.00098255                Unbound (Continuum)
1017            0.00102944                Unbound (Continuum)
1018            0.00120368                Unbound (Continuum)
1019            0.00125662                Unbound (Continuum)
1020            0.00150814                Unbound (Continuum)
1021            0.00156529                Unbound (Continuum)
1022            0.00195895                Unbound (Continuum)
1023            0.00201900                Unbound (Continuum)

================================================================================
                 End of Log
================================================================================
