================================================================================
        MFGH Solver Calculation Log
================================================================================
Calculation Time: 2026-01-09 11:35:16

--- Input & Derived Parameters ---
MU                            : 49902.0048124958
HBAR                          : 1.0
N_POINTS_FINAL (Internal)     : 1024
R_MIN_USER_DEFINED            : 2.0
R_MAX_USER_DEFINED            : 400.0
E_MAX (for mapping)           : 0.00022693392727697473
V_min                         : -0.0011346696426874296
De_approx                     : 0.0011346696416370036

--- Key Results ---
Approx. Dissociation Energy (De) : 0.001135
Total Number of Bound States     : 33

--- Full Eigenvalue Spectrum ---
Level (v)       Energy                    State Type
162             0.00001249                Unbound (Continuum)
163             0.00001255                Unbound (Continuum)
164             0.00001286                Unbound (Continuum)
165             0.00001293                Unbound (Continuum)
166             0.00001324                Unbound (Continuum)
167             0.00001331                Unbound (Continuum)
168             0.00001363                Unbound (Continuum)
169             0.00001370                Unbound (Continuum)
170             0.00001402                Unbound (Continuum)
171             0.00001409                Unbound (Continuum)
172             0.00001442                Unbound (Continuum)
173             0.00001449                Unbound (Continuum)
174             0.00001482                Unbound (Continuum)
175             0.00001489                Unbound (Continuum)
176             0.00001523                Unbound (Continuum)
177             0.00001530                Unbound (Continuum)
178             0.00001564                Unbound (Continuum)
179             0.00001572                Unbound (Continuum)
180             0.00001606                Unbound (Continuum)
181             0.00001614                Unbound (Continuum)
182             0.00001649                Unbound (Continuum)
183             0.00001656                Unbound (Continuum)
184             0.00001692                Unbound (Continuum)
185             0.00001699                Unbound (Continuum)
186             0.00001735                Unbound (Continuum)
187             0.00001743                Unbound (Continuum)
188             0.00001779                Unbound (Continuum)
189             0.00001787                Unbound (Continuum)
190             0.00001824                Unbound (Continuum)
191             0.00001832                Unbound (Continuum)
192             0.00001869                Unbound (Continuum)
193             0.00001877                Unbound (Continuum)
194             0.00001915                Unbound (Continuum)
195             0.00001923                Unbound (Continuum)
196             0.00001961                Unbound (Continuum)
197             0.00001969                Unbound (Continuum)
198             0.00002008                Unbound (Continuum)
199             0.00002016                Unbound (Continuum)
200             0.00002055                Unbound (Continuum)
201             0.00002063                Unbound (Continuum)
202             0.00002103                Unbound (Continuum)
203             0.00002111                Unbound (Continuum)
204             0.00002151                Unbound (Continuum)
205             0.00002159                Unbound (Continuum)
206             0.00002200                Unbound (Continuum)
207             0.00002208                Unbound (Continuum)
208             0.00002250                Unbound (Continuum)
209             0.00002258                Unbound (Continuum)
210             0.00002300                Unbound (Continuum)
211             0.00002308                Unbound (Continuum)
212             0.00002350                Unbound (Continuum)
213             0.00002359                Unbound (Continuum)
214             0.00002401                Unbound (Continuum)
215             0.00002410                Unbound (Continuum)
216             0.00002453                Unbound (Continuum)
217             0.00002462                Unbound (Continuum)
218             0.00002505                Unbound (Continuum)
219             0.00002514                Unbound (Continuum)
220             0.00002558                Unbound (Continuum)
221             0.00002567                Unbound (Continuum)
222             0.00002611                Unbound (Continuum)
223             0.00002620                Unbound (Continuum)
224             0.00002665                Unbound (Continuum)
225             0.00002674                Unbound (Continuum)
226             0.00002719                Unbound (Continuum)
227             0.00002728                Unbound (Continuum)
228             0.00002774                Unbound (Continuum)
229             0.00002783                Unbound (Continuum)
230             0.00002829                Unbound (Continuum)
231             0.00002839                Unbound (Continuum)
232             0.00002885                Unbound (Continuum)
233             0.00002895                Unbound (Continuum)
234             0.00002941                Unbound (Continuum)
235             0.00002951                Unbound (Continuum)
236             0.00002998                Unbound (Continuum)
237             0.00003008                Unbound (Continuum)
238             0.00003056                Unbound (Continuum)
239             0.00003066                Unbound (Continuum)
240             0.00003114                Unbound (Continuum)
241             0.00003124                Unbound (Continuum)
242             0.00003173                Unbound (Continuum)
243             0.00003183                Unbound (Continuum)
244             0.00003232                Unbound (Continuum)
245             0.00003242                Unbound (Continuum)
246             0.00003291                Unbound (Continuum)
247             0.00003302                Unbound (Continuum)
248             0.00003351                Unbound (Continuum)
249             0.00003362                Unbound (Continuum)
250             0.00003412                Unbound (Continuum)
251             0.00003423                Unbound (Continuum)
252             0.00003473                Unbound (Continuum)
253             0.00003484                Unbound (Continuum)
254             0.00003535                Unbound (Continuum)
255             0.00003546                Unbound (Continuum)
256             0.00003598                Unbound (Continuum)
257             0.00003609                Unbound (Continuum)
258             0.00003660                Unbound (Continuum)
259             0.00003671                Unbound (Continuum)
260             0.00003724                Unbound (Continuum)
261             0.00003735                Unbound (Continuum)
262             0.00003788                Unbound (Continuum)
263             0.00003799                Unbound (Continuum)
264             0.00003852                Unbound (Continuum)
265             0.00003864                Unbound (Continuum)
266             0.00003917                Unbound (Continuum)
267             0.00003929                Unbound (Continuum)
268             0.00003983                Unbound (Continuum)
269             0.00003994                Unbound (Continuum)
270             0.00004049                Unbound (Continuum)
271             0.00004061                Unbound (Continuum)
272             0.00004116                Unbound (Continuum)
273             0.00004127                Unbound (Continuum)
274             0.00004183                Unbound (Continuum)
275             0.00004195                Unbound (Continuum)
276             0.00004250                Unbound (Continuum)
277             0.00004262                Unbound (Continuum)
278             0.00004319                Unbound (Continuum)
279             0.00004331                Unbound (Continuum)
280             0.00004387                Unbound (Continuum)
281             0.00004400                Unbound (Continuum)
282             0.00004457                Unbound (Continuum)
283             0.00004469                Unbound (Continuum)
284             0.00004526                Unbound (Continuum)
285             0.00004539                Unbound (Continuum)
286             0.00004597                Unbound (Continuum)
287             0.00004609                Unbound (Continuum)
288             0.00004668                Unbound (Continuum)
289             0.00004680                Unbound (Continuum)
290             0.00004739                Unbound (Continuum)
291             0.00004752                Unbound (Continuum)
